id_orig,text_orig,anger,disgust,fear,joy,sadness,surprise,id_pt,text_pt,idioma,nota,comb_emocao
vmw_train_track_a_00339,"As galera da Amazônia tão chorando com a extinção dos rinocerontes, que triste.",0,0,0,0,0,0,ptbr_train_track_a_00793,"Isso é no setor que fica torcida dos 2 times eu acho, paulista pode achar loucura mas em existe essa possibilidade de 2 torcidas coexistirem no mesmo estádio.",vmw,,0-0-0-0-0-0
vmw_train_track_a_00322,"Aí, essa treta contra o Lula tá pegando fogo, né?",0,0,0,0,0,1,ptbr_train_track_a_01855,"Foi a primeira vez que uma mulher negra foi eleita miss universo? Eu tinha impressão que já tinha acontecido antes. De qualquer forma, é sempre importante que se reconheça a beleza negra.",vmw,,0-0-0-0-0-1
vmw_train_track_a_01249,Tô ligado que cê tá de olho na galera da África,0,0,0,0,1,0,ptbr_train_track_a_01952,acho que nn vou transar hj kkkkkkkk pqp,vmw,,0-0-0-0-1-0
vmw_train_track_a_00367,"Tava pensando, se rolar uma oportunidade de conectar a galera na vibe 'mwiithanelo' do Muntiyaali, seria top!",0,0,0,1,0,0,ptbr_train_track_a_02114,"Ninguém dava nada por esse filme, justamente por ser a Lady Gaga (uma cantora pop inexperiente no cinema). Ai ela vem, compõe um puta Best Original Song, produz uma trilha sonora icônica e BAFTADA, atua com maestria e o mérito nunca é dela. O filme foi só a chance dela brilhar",vmw,,0-0-0-1-0-0
vmw_train_track_a_00754,"COVID-19: Avisa aí galera 'tamo junto', cuidem-se e não vacilem!",0,0,1,0,0,0,ptbr_train_track_a_00178,tô com medo de fica feio pra bosta mas se fodaaaa,vmw,,0-0-1-0-0-0
vmw_train_track_a_00503,"tão feliz que os irmãos africanos tão se unindo, isso é força!",0,0,1,0,1,0,ptbr_train_track_a_01089,eu nao nasci pra desenhar serio olha que lixo esse meu trabakho de historia eu vou tirar 0 meu seus me ajida,vmw,,0-0-1-0-1-0
vmw_train_track_a_00154,"Palestina tá de boa, mas a realidade lá é tensa, tipo, fica difícil viver numa boa por lá.",0,1,0,0,0,0,ptbr_train_track_a_01097,nao acredito que meu pao mofou de novo que nojo,vmw,,0-1-0-0-0-0
vmw_train_track_a_01356,"A galera tá falando que os africanos tão dominando tudo, já era!",0,1,0,0,1,0,ptbr_train_track_a_00339,to me sentindo um lixo hoje pqp,vmw,,0-1-0-0-1-0
vmw_train_track_a_01402,"Coração bonito, tô pra te contar que o clima aqui tá quente, vamo curtir a vibe juntos!",1,0,0,0,0,0,ptbr_train_track_a_01535,Para muita gente o presidente lutar é ele dar umas voltas pela cidade e fazer um comício para imprensa.,vmw,,1-0-0-0-0-0
vmw_train_track_a_00506,"Parada, Mankolaanu, cê tá fazendo o que? Será que tá esperando alguém te chamar pra briga?",1,0,0,0,1,0,ptbr_train_track_a_00331,"Lastimável! Bolsonaro desrespeita a dor das famílias de vítimas da Ditadura e distorce a história dos crimes praticados pelo Estado. Ao ser desmentido por documentos oficiais, altera a composição da Comissão de Mortos e Desaparecidos Políticos. A necropolítica não tem limites.",vmw,,1-0-0-0-1-0
